video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=D2V4vYNsh14&t=210s&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,How is the Seattle Rental Market in 2022?,1K,3 years,Many renters in the Seattle area are forced to continue renting as a result of higher interest rates. That brings the question for both ...,2026-02-03 04:08:58.192296
/watch?v=I5ooXW6r-x0&t=32s&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Seattle COST of Living in 2025 | Everything You Need to Know About Living in Seattle WA,1K,10 months,"Thinking about moving to Seattle? In this video, I break down the Seattle cost of living, including rent prices, home prices, utilities, ...",2026-02-03 04:08:58.196794
/watch?v=cIIU0oN76DE&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@heyytheresmile,heyytheresmile,apartment hunting in seattle | touring 7 studios with rent prices and tips!,49K,2 years,hi friends! i have a very very exciting video for you all today - apartment hunting in seattle!!! this is the first time i've been apartment ...,2026-02-03 04:08:58.198686
/watch?v=qLPQHhawxCw&pp=ygUTc2VhdHRsZSByZW50IHByaWNlc9IHCQmRCgGHKiGM7w%3D%3D,/@MonicaChurch,Monica Church,"What $1,000 A Month Gets You In Seattle",304K,5 years,"Whether you are looking to move to Seattle, or just interested in the cost of living in this city, here is an in depth look at how you ...",2026-02-03 04:08:58.202560
/shorts/elFm9skUhYs,/@mattwallmortgage,Matt Wall,What $800k Gets You in Seattle vs $3500 Rent 2025 Breakdown!,946,10 months,"Rent or Buy: The Ultimate Guide for 2025 | Is buying a home in Seattle worth it right now? In this comprehensive breakdown, ...",2026-02-03 04:08:58.203903
/watch?v=x_E-cSv18Jk&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Report: Apartment rent prices could drop soon | FOX 13 Seattle,1.1K,3 years,"We may see lower rents in the coming year. According to a report in the Wall Street Journal, many apartments that increased rent ...",2026-02-03 04:08:58.205273
/watch?v=kwxvxqwhrps&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@MonicaChurch,Monica Church,"What $1,500 Per Month Gets You In Seattle",599K,6 years,SUBSCRIBE for more: http://goo.gl/LPWD04 - - - - - - - - - - - - - - Today I wanted to dive a little deeper in the Seattles rental market!,2026-02-03 04:08:58.210626
/shorts/QQEKJQpDy74,/@veryvalery,Very Val,How much do you pay for rent in Seattle #shorts,4.6K,2 years,shorts #usa #seattle #rent.,2026-02-03 04:08:58.211987
/shorts/Km5hIA4LzTA,/@ThachNguyen,Thach Nguyen,"How Much A 1,500 sqft. Townhouse Rents For In Seattle 🏬",19K,2 years,Here's how much a 1500 ft townhouse rent for in Seattle so in this 1500t townhouse we have three bedroom two bath and these ...,2026-02-03 04:08:58.213735
/watch?v=o_TmTPwX1dc&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AntonStetner,Anton Stetner,Can You Afford to Live Here? Seattle’s Wage-Rent Paradox | Seattle’s Wage-Rent Paradox Explained,573,4 months,"Reality 01:50 Skewed Gains: Tech Surges While Service Wages Stall 02:48 Seattle Rent Snapshot: $2700 Median, 3.2% Vacancy ...",2026-02-03 04:08:58.215656
/watch?v=-5716Szz3XI&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@extraspacestorage,Extra Space Storage,The 5 BEST Places to Rent a Home in Seattle in 2025,461,2 years,"Looking for the best places to rent in Seattle? Whether you want scenic waterfronts, walkable nightlife, or a peaceful retreat with ...",2026-02-03 04:08:58.217485
/watch?v=HAw8fEmYkjM&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle rent prices down,6K,4 years,A temporary drop in Seattle rent prices isn't expected to last long. The pandemic is being blamed for the current downturn in rent ...,2026-02-03 04:08:58.221317
/watch?v=yBSz12tPSlA&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AnitaintheUSA,Anita in the USA,APARTMENT HUNTING IN SEATTLE WITH PRICES: Touring 13 Units,2.3K,3 months,Welcome to the ultimate Seattle apartment tour! My husband and I are officially apartment hunting for a cozy 1-bedroom in ...,2026-02-03 04:09:06.607159
/watch?v=AFhyvV-2gcc&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@jreevesnfg,Jreeves,"What $1,000 per month will get you in Seattle | Pt. 1",14K,5 years,"If I am being truthfully honest, I think the whole idea of renting is dumb haha! If you plan to stay in the rental for a couple of years ...",2026-02-03 04:09:06.609861
/watch?v=79L2te7Y8tU&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@aliazaita,alia zaita,seattle apartment hunting | 8 units w/ prices and tips,256K,3 years,Head to https://squarespace.com/aliazaita to save 10% off your first purchase of a website or domain using code ALIAZAITA ...,2026-02-03 04:09:06.612234
/watch?v=xyObBwGIlOc&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AnitaintheUSA,Anita in the USA,APARTMENT HUNTING IN SEATTLE WITH PRICES - Touring 13 apartment units,1.9K,2 months,Welcome to the ultimate Seattle apartment tour! My husband and I are officially apartment hunting for a cozy 1-bedroom in ...,2026-02-03 04:09:06.613654
/watch?v=mC9gJkoTlqw&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@swangxswang,Sarah Wang,"TOURING SEATTLE APARTMENTS | 2 Bedrooms in Capitol Hill, Downtown, and South Lake Union",80K,3 years,Description: Touring Seattle Apartments! Come tour apartments in Seattle with me! Links: N/A ✨ Social Media: Instagram: ...,2026-02-03 04:09:06.616734
/watch?v=cN_SoHfifU4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@aliazaita,alia zaita,APARTMENT HUNTING IN SEATTLE // tips + locations + prices!,418K,4 years,the time has finally come for us to go APARTMENT HUNTING! I would be lying if I said I haven't been hunting for a new apartment ...,2026-02-03 04:09:06.618857
/watch?v=u7K9cOWF1i4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@SaraiJones,Sarai Jones,"APARTMENT HUNTING!!! What $500-$5,000 A Month Will Get You In Seattle!",117K,4 years,hey guys! new series!? In todays video I went APARTMENT HUNTING! I toured 3 different apartments in Seattle that were ...,2026-02-03 04:09:06.622698
/watch?v=L-mwoXfteFg&pp=ygUTc2VhdHRsZSByZW50IHByaWNlc9IHCQmRCgGHKiGM7w%3D%3D,/@SarahRoseBeauty,Sarah Rose,APARTMENT HUNTING IN SEATTLE // $1500 Budget - Touring 3 Units w/ Locations & Prices,29K,3 years,Hey guys! I recently went apartment hunting in Seattle and thought it'd be fun to show 3 examples of Seattle 1 bedroom ...,2026-02-03 04:09:06.626305
/watch?v=I59BSVEtR44&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@georgeoctavio,George Rodriguez Tacoma Seattle Real Estate Expert,10 Affordable Neighborhoods In Seattle Washington | Moving To Seattle WA,2.9K,1 year,"You may be wondering what are the affordable neighborhoods in Seattle Washington. Seattle, WA can be pricy and if you are ...",2026-02-03 04:09:06.628187
/watch?v=AfCCewZIrN4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AngelicaPham,Angelica Pham,"SEATTLE APARTMENT HUNTING | Touring 10+ Units, Luxury High Rises, Prices, + Tips",62K,2 years,2024 IS FOR LIFE CHANGING EVENTS!!! Come with me to tour 10+ units in the city of seattle/bellevue! Moving out for the first ...,2026-02-03 04:09:06.630961
/watch?v=tak3icPD9v0&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AnitaintheUSA,Anita in the USA,APARTMENT HUNTING IN SEATTLE WITH PRICES - Touring 9 apartment buildings,2.4K,3 months,Welcome to the ultimate Seattle apartment tour! My husband and I are officially apartment hunting for a cozy 1-bedroom in ...,2026-02-03 04:09:06.633400
/watch?v=wK7gHUlOSGA&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AndrewAnd,Andrew Andrews (Toycat),"This Apartment Costs $12,000 A Month!? (House Hunting In Seattle)",2.6K,3 years,Nice place tho.,2026-02-03 04:09:06.635113
/watch?v=PT0j4GeZeW4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@seattletravelguru,Laura in Seattle,SEATTLE APARTMENT HUNTING // 8 Apartments + Tips for Renting,33K,1 year,"Apartment hunting in Seattle can feel like a stressful experience, but if you know what to expect and how to find the best places, ...",2026-02-03 04:09:06.637091
/watch?v=LbpgBsyRrmU&pp=ygUTc2VhdHRsZSByZW50IHByaWNlc9IHCQmRCgGHKiGM7w%3D%3D,/@AngelicaPham,Angelica Pham,"SEATTLE APARTMENT HUNTING | Breaking my Lease, Touring 5+ Residential Units, Prices, + Tips",31K,1 year,BREAKING MY LEASE AFTER 4 MONTHS AND EXPLORING MODERN RESIDENTIAL OPTIONS OUT OF THE CITY OF ...,2026-02-03 04:09:06.639801
/watch?v=Vj0r0SAZp6Q&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@LivinginSeattlewithSean,Living in Seattle with Sean McConnell,The Seattle Housing Market Just SHIFTED (Here’s Why),40K,4 months,"Seattle's housing market just shifted dramatically. Homes that got 10 offers last year now get 2; days-on-market jumped 50%, and ...",2026-02-03 04:09:06.642167
/shorts/fPTcRNdytws,/@jiakhanhomes,JiaKhanHomes,Rent in Seattle Today,1.8K,4 years,"Apartment for Rent! $2250/ mo 1 Bed/ 1 Bath/ 720 sqft 103 Bellevue Ave E, Seattle, WA Apply today: ...",2026-02-03 04:09:06.644525
/watch?v=Hw8vMofjElQ&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@ShelbyChurch,Shelby Church,"What $5,500 Per Month Gets You In Seattle | My Luxury High Rise Apartment Tour",201K,2 years,In today's video I'm showing you all where I've lived for the last year and around my neighborhood! Links to everything below: ...,2026-02-03 04:09:06.648020
/shorts/d96Ne4PjpII,/@merdiana,Diana Mer,"SEATTLE'S MOST EXPENSIVE RENTAL [2023] $25,000 MONTHLY | NEW LUXURY HIGH-RISE",19K,3 years,SUBSCRIBE for more: https://youtube.com/@dianamerproperties WATCH NEXT: How to overcome the fear of purchasing a ...,2026-02-03 04:09:06.649877
/watch?v=ZpHbr6_TuVs&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@ReasonableNews,News For Reasonable People,"Rents jump for single-family homes in Seattle area, but fall for apartments | Seattle RE Podcast",3.8K,4 years,"It's more expensive to rent a single-family home this year in the greater Seattle area than last, but the cost of renting an apartment ...",2026-02-03 04:09:14.917144
/shorts/G8Wxmn1cwVU,/@TMM-TheMoneyManual,The Money Manual,Seattle’s New Rent Hotspots (2025),1K,5 months,"Seattle's rent isn't exploding—it's reshuffling. Here's what's rising, what's not, and where demand is shifting. #SeattleRent ...",2026-02-03 04:09:14.918779
/watch?v=jx_bBSltoWE&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@BuzzFeedVideo,BuzzFeedVideo,"$2,000 Rent: Seattle Vs. Austin",321K,6 years,This is what you can get for around $2000 rent in Seattle and Austin! Credits: https://www.buzzfeed.com/bfmp/videos/96589 Check ...,2026-02-03 04:09:14.924107
/watch?v=vXxJard4Xb0&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@taylorwynn,Taylor Wynn,"LIVING IN SEATTLE...The Truth. Rent $$$, Best Neighborhoods, KNOW BEFORE YOU MOVE!",326K,6 years,Moving to Seattle?! Pros and Cons about living in Seattle- everything you need to know! ☆ FOLLOW my #Seattle IG account!,2026-02-03 04:09:14.927924
/watch?v=xUkzp_7Xzek&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Data suggests Seattle is losing rental properties as small landlords are leaving the city,3.5K,3 years,"Data from the city, analyzed by the Rental Housing Association of Washington, shows Seattle lost more than 3400 properties in ...",2026-02-03 04:09:14.929741
/watch?v=erQRPByfhjQ&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@Phamever,PHAMEVER,"Moving To Seattle Part 2 - $100k Income & $1,495 Rent - Neighborhood Guide!",37K,4 years,Many of you who are moving to Seattle (or thinking about it) have asked me to share more about what life in Seattle is really and ...,2026-02-03 04:09:14.933680
/shorts/QrqLqt-XLyY,/@urbanashteam,UrbanAsh Team at Pointe3 Real Estate,Downtown Seattle Short Term Rental/Airbnb Buildings,1.7K,3 years,Did you know that there are seven buildings in the downtown Seattle core that allow short term rentals or Airbnb properties?,2026-02-03 04:09:14.935113
/watch?v=SW5QssG9xtA&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@EmilyCressey-LivingInSeattleWA,"Emily Cressey - Living In Seattle, Washington",Living in Seattle: Should You RENT or BUY?,670,1 year,Living in Seattle: Should You Rent or Buy? Are you considering whether to rent or buy in Seattle? Deciding between renting and ...,2026-02-03 04:09:14.936518
/watch?v=S1vrKqO-1gs&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@ReasonableNews,News For Reasonable People,Rent prices for single-family homes in Seattle have increased 7.7% year over year,1.8K,4 years,"Rent prices for single-family homes in the Seattle metro area have increased 7.7% year over year, according to a new report.",2026-02-03 04:09:14.937745
/watch?v=uQcX9nRzvec&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@kiro7,KIRO 7 News,Amazon layoff impact on Seattle housing market,427K,3 months,The Seattle real estate market is already starting to feel the impact of the massive layoffs at Amazon as some homeowners and ...,2026-02-03 04:09:14.938947
/watch?v=rzYHrrBX_h4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@ReasonableNews,News For Reasonable People,Seattle Rent Prices Are Almost Back to Pre-Pandemic Levels,4K,4 years,A NEW REPORT has confirmed the anecdotes: Seattle rent prices are almost as ridiculously high as they were before the ...,2026-02-03 04:09:14.942409
/shorts/oY1vI9mSpXE,/@tripalink.official,Tripalink,Seattle - Maude Urban Living Apartments - Studio,5.7K,2 years,Discover Maude Apartments in the Vibrant Roosevelt Community of Seattle! 🏙️ Studio Apartments Starting at $1200 + $600 ...,2026-02-03 04:09:14.943729
/watch?v=BYhvVAtyIU4&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@livinginseattlewashington206,Living in Seattle Washington ,7 MOST AFFORDABLE SUBURBS NEAR SEATTLE WA [PLACES YOU ACTUALLY WANT TO LIVE IN SEATTLE WA],11K,2 years,"Are you thinking of relocating somewhere in Seattle Wa? In this video, we'll explore some fantastic options for those considering a ...",2026-02-03 04:09:14.946024
/watch?v=qHIzUpp0rEk&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@Katherout,Katherout,"Apartment Shop with me in Seattle, WA!",54K,4 years,Tour 5 different Seattle apartments with me and see which one I chose! Thank you to Wealthfront for sponsoring today's video.,2026-02-03 04:09:14.950293
/shorts/opo3NLaIsnU,/@Fmsmith319,Freddie Smith,Should Millennials and Gen Z RENT or BUY In Today’s Housing Market?,1.2M,1 year,Should you be renting or buying in today's housing market well let's pull this out 30 years and see what path is right for you so ...,2026-02-03 04:09:14.951783
/watch?v=pP3xtO86Od8&pp=ygUTc2VhdHRsZSByZW50IHByaWNlc9IHCQmRCgGHKiGM7w%3D%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Seattle's NEWEST #1 Luxury Condo (Park Row Condos – Bellevue),756,22 hours,Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ➡️ Our Bellevue New Condo Guide: https://bit.ly/4jLPucL ...,2026-02-03 04:09:14.953358
/watch?v=IH3bwpSl4zw&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@komonews,KOMO News,Will rent control bill help or hurt housing costs in Washington State?,2.8K,10 months,"A bill to cap rental rates at 7% a year could go to a vote on the floor of the state House this week, according to a pair of Olympia ...",2026-02-03 04:09:14.957360
/watch?v=yhKaqLoDv4c&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@ahomeinSeattle,a home in Seattle,Renting vs Buying in Seattle in 2022,1.7K,3 years,Should you buy or should you rent? Thats the question when moving to Seattle! ▸ Cheapest places to move in Seattle 2022 ...,2026-02-03 04:09:14.958925
/shorts/KM8BHl1Ss1A,/@Kikiosity2025,Kikiosity,Seattle Apartment Hunting Tips 🏙️ | Best Websites to Find Rentals,154,6 months,"Not sure where to start your Seattle apartment search? Here is the websites I used to find listings! For more tips, rent prices, and ...",2026-02-03 04:09:25.984704
/shorts/pUIiSafYZbI,/@TheRamsGroup,"Ravi & Sijy : The Rams Group, Seattle Realtors",Hidden Costs of Moving to Seattle in 2025 - What You Should Know?,90,4 months,Thinking of moving to Seattle yay welcome Now the cost of living isn't just about your rent or mortgage There are a few other ...,2026-02-03 04:09:25.988901
/watch?v=GHo8Bi1SOOM&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@paula_mads,Paula,APARTMENT HUNTING Under $2000 1 Bedroom SEATTLE Rent Prices,14K,4 years,"Welcome to episode 3 of our moving series! Today, we are going APARTMENT HUNTING! We currently live NEAR Seattle, ...",2026-02-03 04:09:25.992583
/shorts/l6bGMMQtU3E,/@komonews,KOMO News,Downtown Seattle rents increase as Amazon workers return to office,1.3K,1 year,"Rents in downtown Seattle have gone up for the first time in 17 months as Amazon employees returned to the office, according to ...",2026-02-03 04:09:25.996640
/watch?v=D2KSw7VNq8o&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@Chris_jae,Chris Jae,"Seattle Apartment Hunting 2023 | What $2,200 Gets You In Ballard",19K,2 years,"In this video we will check out Urbana, an apartment building in the Ballard neighborhood of Seattle. This is the first apartment I ...",2026-02-03 04:09:26.001780
/shorts/z2zQdjROMEo,/@mattmrealestate,Matt Michel | Real Estate,Seattle Rent Prices up 19%,125,3 years,"Seattle rents have increased by 19% in the last year. If are looking for a new rental, there's a good chance you're going to end up ...",2026-02-03 04:09:26.003508
/watch?v=R213Kfv1efg&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Small landlords worry new rental rules are forcing them out of Seattle,4.6K,4 years,Small landlords say they've asked to be excluded from rules they believe are aimed at large rental corporations.,2026-02-03 04:09:26.006849
/shorts/bG18e2-cCwI,/@Kikiosity2025,Kikiosity,"Seattle Apartment Tour #5A 🏙️ | Real Rent, Size & Layout Reveal",143,6 months,"Take a quick peek inside one of the apartments I toured while apartment hunting in Seattle! Want to see more units, rent prices, ...",2026-02-03 04:09:26.009909
/shorts/6eD5nu9paVQ,/@Kikiosity2025,Kikiosity,Seattle Apartment Hunting Tips 🏙️ | Paperwork You’ll Need to Apply,87,6 months,"For more tips, rent prices, and apartment tours, check out the full video on my channel: Seattle Apartment Hunting ...",2026-02-03 04:09:26.018543
/watch?v=l6IPU3mvVko&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@DavepolettiSeattle,Seattle Property Management - Dave Poletti & Associates,Apartment for Rent in Seattle 1BR/1BA by Seattle Property Management,39,5 years,"This is a video tour of 6402 14th Ave NW #4, Seattle, WA 98107 brought to you by the leading Seattle property management ...",2026-02-03 04:09:26.020967
/shorts/yk7XA_wzov4,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle and Bellevue Home Prices Slip In December 2022,338,3 years,Higher interest rates continue to soften the real estate market in the Seattle/Bellevue area. Seattle and Bellevue experienced a ...,2026-02-03 04:09:26.024833
/watch?v=t2w2EhzYqSk&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Biggest monthly price increase for renters in more than 3 decades | FOX 13 Seattle,697,3 years,"According to the Labor Department, the country is seeing the biggest monthly price increase for renters in more than three ...",2026-02-03 04:09:26.028578
/shorts/dyt7SBqOGI0,/@ahomeinSeattle,a home in Seattle,Seattle Apartment Tour (Roosevelt Neighborhood),3.6K,2 years,Here's a quick tour of a studio at Centerline Apartments! https://www.centerlineseattle.com/# If you are thinking about making a ...,2026-02-03 04:09:26.032405
/shorts/twIWeWVGPZc,/@Kikiosity2025,Kikiosity,"Seattle Apartment Tour #1A 🏙️ | Real Rent, Size & Layout Reveal",117,6 months,"Take a quick peek inside one of the apartments I toured while apartment hunting in Seattle! Want to see more units, rent prices, ...",2026-02-03 04:09:26.035232
/watch?v=jklP1QYTPKs&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@CattJohnson,Catt Johnson | Gig Harbor Realtor,How The New WA Rent Cap Will Raise Prices For EVERYONE,2.6K,8 months,"Gig Harbor renters, beware—HB 1217 isn't protecting you. It's setting you up. Washington's new rent cap law sounds like a win, ...",2026-02-03 04:09:26.041984
/shorts/ky7tcEfZDBk,/@AdamSalasSpokaneRealEstate,Salas Real Estate,"Seattle AirBNB worth the money!  We spent 6 nights in this condo!  1415 2nd Ave., Seattle WA",663,2 years,"Welcome to 1415 2nd Ave., Seattle WA. This centrally located condo with amazing views of the Sound and 1 block to Pike Place ...",2026-02-03 04:09:26.043887
/watch?v=RTz7yIVn3dQ&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Housing prices drop in Seattle,389,7 years,KING 5's Kaci Aitchison breaks down the numbers.,2026-02-03 04:09:26.045257
/watch?v=SkR9SpQ5FfA&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@komonews,KOMO News,Affordable housing provider sues Seattle over laws meant to help tenants,2.5K,1 year,"An affordable housing provider sued the city of Seattle on Tuesday, claiming that a series of ordinances meant to help tenants are ...",2026-02-03 04:09:26.046845
/watch?v=GWptQe91k8Y&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Rent Growth is Slowing  | Seattle Real Estate News Breakdown #8,433,6 years,"Renting in Seattle is expensive, but rent growth is slowing. This is welcome news for those living in the area or considering a ...",2026-02-03 04:09:26.048307
